Name,Creativity,Goals_scored
Mendy,139.3,0
Merino,236.7,1
Mignolet,0,0
Milivojevic,379,10
Milner,615.5,0
Mings,14.8,0
Mir,0,0
Mirallas,20.2,0
Miranda,0,0
Mkhitaryan,727.8,3
Monreal,238.7,5
Mooy,848.8,4
Morata,478.9,11
Moreno,250.1,0
Morgan,62,0
Morrison,0,0
Moses,358.1,3
Mounie,270.7,7
Mousset,69.5,2
Murphy,0,0
Murphy,159.7,1
Murray,271.8,12
Mustafi,129.9,3
Navarro,0,0
Ndidi,230.7,0
Nelson,29.7,0
Neves,0,0
Niasse,159.2,8
Noble,337.8,4
Norris,0,0
Obiang,132.1,2
Odoi,0,0
Ogbonna,81.4,1
Okaka,92,1
Okazaki,228.1,6
Oriol Romeu,338.7,1
Otamendi,224.6,4
Oxford,0,0
Paterson,0,0
Patricio,0,0
Pedro,410,4
Peltier,0,0
Pereira,0,0
Pereyra,370.6,5
Pickford,30.1,0
Pilkington,0,0
Pogba,663.5,6
Pope,40,0
Pritchard,300.3,1
Prodl,25.9,0
Propper,297.1,0
Pugh,195.5,0
Puncheon,93.9,0
Perez,539,8
Quaner,255.7,0
Ralls,0,0
Ramsey,478.3,7
Rashford,412.1,7
Ream,0,0
Redmond,630.9,1
Reid,48.8,0
Reid,0,0
Rice,35.7,0
Richarlison,384.7,5
Riedewald,21.5,0
Ritchie,844.4,3
Robertson,414.5,1
Rojo,26,0
Romero,0,0
Rose,181.6,0
Ruddy,0,0
Ryan,0,0
Rudiger,83,2
Sabiri,40.6,0
Sakho,30.7,1
Sako,103.1,3
Salah,942.5,32
Sandro,28.3,0
Sane,891.3,10
Saiss,0,0
Schelotto,99.2,0
Schindler,107.1,0
Schlupp,189.7,0
Schmeichel,11.1,0
Schneiderlin,159.2,0
Sema,0,0
Seri,0,0
Sessegnon,0,0
Shaqiri,1151.6,8
Shaw,127,0
Shelvey,639.9,1
Sigurdsson,614.9,4
Silva,120,0
Simpson,121.2,0
Simpson,0,0
Sims,43.5,0
Sinclair,11,0
Sissoko,384.7,1
Smalling,35.3,4
Smith,251.6,0
Smithies,0,0
Sobhi,237.9,2
Sokratis,0,0
Solanke,199.4,1
Son,588.2,12
Souare,1.1,0
Speroni,0,0
Stanislas,377.2,5
Steele,0,0
Stekelenburg,0,0
Stephens,272.5,0
Stephens,68.3,2
Sterling,838.2,18
Steve Cook,65.6,2
Stones,26.3,0
Sturridge,205.3,2
Surman,261.1,2
Suttner,105.6,0
Sanchez,1155.2,9
Sanchez,74.8,0
Sorloth,74,0
Tarkowski,98.4,0
Taylor,86.8,0
Tomkins,22.4,3
Torreira,0,0
Tosun,226.4,5
Townsend,1012.1,2
Trippier,617.5,0
Valencia,438.5,3
Vardy,439.9,20
Vertonghen,205.7,0
Vestergaard,0,0
Vinagre,0,0
Vlasic,159.1,0
Vokes,128,4
Vorm,0,0
Walcott,234.9,3
Walker,511.4,0
Walker-Peters,48.3,0
Walters,0.7,0
Wan-Bissaka,60,0
Wanyama,96.8,1
Ward,0,0
Ward,0,0
Ward,163.5,0
Ward,270.9,1
Ward-Prowse,613.9,3
Welbeck,212.8,5
Wells,3.5,0
Westwood,134.8,0
Wickham,0,0
Wijnaldum,356.2,1
Williams,39,1
Williams,83,0
Willian,891.5,6
Wilshere,281.8,1
Wilson,288.4,8
Winks,172.2,0
Wood,203.5,10
Xhaka,822.8,1
Yarmolenko,0,0
Yedlin,340.7,0
Yoshida,67,2
Young,502.3,2
Zabaleta,293.7,0
Zaha,716.9,9
Zanka,123.6,0
Zappacosta,245.3,1
Zeegelaar,142.1,0
Zinchenko,145.9,0
Zohore,0,0
van Aanholt,303.8,5
van Dijk,122.6,0
van La Parra,261.6,3
Ozil,1287.5,4
