name,total_volume_sold,total_volume_unsold
FRITES SERVES 1,776,784
THYME STUFFING,230,178
IRISH WHITE,46,35
SINGLE PEPPER,574,507
GF SALM F/CAKES,1061,1091
CHK FETTUCCINE,1544,1493
GR242 CHSE SEL,9,9
PK081 SALM PRO,9,7
BRITISH LETT,27,27
BUTTER CHICKEN,1434,1403
12 SB CHS & TOM,757,718
BEEF SSF,258,156
CHICKEN KIEV,971,969
KIDS CHSY PIZZA,886,869
STEAK KDNY 200G,358,337
BFY BF CASSRLE,2490,2450
PANCETTA BACON,130,136
SS CHKN TENDERS,1098,1022
BEEF/ONION SLC,682,640
HADDOCK CHOWDER,327,308
COD AND BACON,780,788
CRM CHKN PIE,273,280
SPOOK EASY PEEL,341,354
NECT 4/6 PK,315,314
GASTRO TREACLE,51,51
FAB FREE OF MEL,220,218
MED SHEPHRD PIE,726,699
SGL RUNNER BEAN,997,957
RD ONION NET X3,310,301
STEAK/ONION SLC,521,487
12 SB PEPPERONI,860,858
BCN&PRMSN PAST,316,311
SCOT 150ML DBL,40,43
GBF ROSE BQT,8,9
MILLIONAIRE MB,8,1
2 TOFFEE PUDDNG,47,46
GF TURKEY FEAST,133,75
GSE FAT RST POT,31,23
SGL SUGERSNAP,270,232
BAKED POTATO X2,1180,1216
RTR CHIC W/ BAC,481,486
2 RHUBARB CRUMB,519,441
9 SB CHS & HAM,342,327
MOUSSAKA X1,1461,1493
KING PRAWN 140G,958,895
KING PRAWN RSTT,294,309
BAC/LATT 4-6,143,109
SPAG & MEATBLLS,1591,1576
DI CRISPY WDGS,45,32
SMPLY EGG MAYO,366,257
WHOLE 2LTRS,37,36
SUPER GREEN VG,1518,1515
BEEF & POT SC,101,107
ORG EGGS MED X6,50,54
SEAFOOD CSSEROL,221,237
PUFF CHCKN 550G,1334,1382
TENDERSTEM BROC,1211,1162
CHESTNUT MUSHRO,1165,1177
IR ORG LGE X6,7,8
AEROSOL CREAM,7,8
2 SALMON ROSES,7,2
PEPPERCORN SCE,173,191
2 LG SAUS ROLLS,422,413
SPAG BOLOGNESE,1453,1442
*SUSHI SNACK,452,321
EGG & BACON,253,211
BRIT WHT MUSHR,1611,1539
PRP CABBGE GRNS,1668,1687
DI MW NY CHSCK,114,119
TOM & BASIL SP,228,226
BEEF HASH X1,1870,1958
CHCKN CASSEROLE,1048,1038
CHS & BAC C/B,393,393
COU CHOW MEIN,1470,1472
TANDOORI CHICKE,166,179
COU CHCKN TIKKA,888,837
LAYERED VEG,1723,1718
BANGERS & MASH,738,794
COU CHKN MSHRM,1598,1581
FEST CHSE BITES,13,9
CHICKEN SSF,117,60
12 MIN CH KIEV,718,743
BROC/CRT/COURGT,484,391
LG ROCKET BAG,785,787
ASPARAGUS TIPS,397,381
STEAK PIE 200G,576,548
2 SEABASS FLTS,2167,2304
MNG P APP & ORG,184,173
GBF RED CHERRY,38,31
ARDENNES PATE,82,26
POT/ONION BAKE,415,420
MUSHY PEAS,320,319
CORIANDER,577,583
CHILLI/COR NOOD,1548,1567
BANANA LOOSE,639.52,25.53
SATSUMA FAMILY,681,719
NARCISSI POSY,43,46
RST TURKEY MEAL,620,659
EMPEROR CARROTS,98,101
BEEF YRKSHIRE,1026,1049
SLMN AND AVOCAD,24,24
SAL&EGG CRSSNTS,114,110
WELSH SEMI 4PTS,6,6
FRESH SPAGHETTI,12,13
SWEET & CRUNCHY,1237,1202
RD PEP B.NUT ON,1302,1287
MINI SAUS TUB,755,643
WHOLE CELERY,160,167
IND QUICHE LORR,793,843
16 BAC & SAUS,912,801
BBY CAR & TSB,147,147
COU CHK JALFREZ,964,1009
CARROT CAKE,29,31
HELDA BEANS,116,129
PREMIUM 1LB,410,433
WELSH SEMI 1PT,23,20
PAIN AU CHOC,23,10
R/FAT CHED,17,16
SALMON AND CUCU,214,190
R/ROOSTER 2.5KG,39,40
BEEF YORKSHIRE,859,955
DI SWEET CR SLD,1059,958
MW BLT,22,12
BRD/BUTTER PDNG,422,373
CAULIFLOWER,2916,2887
BEEF CASSEROLE,851,867
COUNTRY VEG SP,135,146
LG VEGTBLE BAKE,771,814
4 CHS RAVIOLI,1493,1578
SMKD HADDOCK FL,1901,2064
PORK PLUM SLOE,16,8
SEMI 4 PTS,112,111
POMEGRANATE,16,6
MINCE ONION PIE,292,313
HIGH PR LENT ND,69,76
10 SAUS ROLLS,662,687
SANTINI SALAD,1338,1322
SPN CANNELLONI,885,949
ORG CARROT HT,531,558
SPR GRN BST SP,77,72
4PT ORG ENG SS,306,328
DI CHICKEN PROV,523,578
H/SHELL PEAS,403,398
S/FRY STRIPS,30,31
F/R EGG V/LG X6,40,35
2 JAM PUDDINGS,5,2
S/FLOWER 500G,10,11
FTO TRKY BRST,5,4
ORANGE & GRAPEF,35,29
OAKHAM CRWN 4-6,10,12
GBF BOUNTIFUL G,5,5
BL142 CL P SEL,5,5
9 MINI MNC PIE,5,5
YL097 PAR PITHV,5,2
CHKN JALFREZI,1429,1478
BF CANNELLONI,944,1021
LUX HONEY/GINGE,104,86
ROSEMARY POTS,1006,1043
VEG SPRING ROLL,415,454
COU RST PORK,1625,1732
FARMHOUSE 800G,242,256
STK LASAGNE X1,1505,1582
12 SAUS ROLLS,479,492
SB MIX PIZZ SL,899,963
SALMON MEAL,1578,1699
4 ONION BHAJIS,784,846
CRT/CAUL/BRC SM,1145,1151
12 ORIENT VEG,250,259
MSH PAPPARDELLE,1584,1648
COU BRAISED STK,1219,1283
FOTM MANGO,89,63
PREMIUM 1/2LB,243,286
BRIE/CRAN TARTS,546,524
ET DBL CRM 600,14,10
2 CRNSH PASTIES,605,615
APP BRAMLEY LSE,22,0.1
DI RED CABBAGE,204,192
COU HAM TAGTLLE,1465,1603
CHKN RED WIN S2,1200,1277
24 AMERICAN SEL,244,261
WELSH WHL 1PT,23,22
*EW TUNA/SCORN,340,264
EDAMAME PEA SF,147,168
MACARONI CHS X1,1245,1348
QR CARR PARSNIP,828,831
WATERCRESS BAG,761,707
DI SANTINI SLD,711,579
CHUNKY ONION RI,335,365
SLEEVE ROSE,9,10
4 PRAWN ARRABBI,27,29
MINCE BEEF C/B,444,486
DI FRITES,139,101
BBY CH/NUT MRM,670,760
SKIM 2 PTS,442,475
RST CHKN AVO SW,49,25
RUM BUTTR,173,57
CHCKN RISOTTO,1528,1623
PUFF APPLE PIE,763,794
SINGAPORE NOOD,1419,1523
SCOT ORG MED X6,13,14
WHOLE 1 LTR,26,17
10 SAL/CHS BAGE,159,173
LANCS HOTPOT,818,901
B/L LAMB MINT,171,179
VEG PASTA BAKE,1206,1359
12 DUCK SPRING,506,570
FIGS X4/5/6,376,386
HM & CAULI BAKE,751,831
WHOLE 4 PTS,270,299
COU CHK RISOTTO,1094,1152
WELSH SKIM 2PT,21,18
CHILLI PRAWNS,645,714
BUTTERNUT SQ SP,133,149
TSB & FINE BEAN,216,188
RICO RED ON MR,828,871
CHKN PIE 200G,689,772
BRD BRST ST X4,1091,1142
HARVEST VEG BAK,49,61
DI RSMARY POTS,102,82
WFR BRD HAM LGE,122,124
6 LGE S/ROLLS,386,424
BAC/LAT CHK X3,146,146
2 CHS&ONION RLS,567,575
CHKN RED WINE,572,648
STEAK PIE 220G,664,761
C/TNUT JNT 8-10,4,0
CIABATTA,4,0
WLT HAM PLATTER,28,17
UK FLAT MUSHRMS,4,5
AG PREM LILIES,4,5
ROCKY ROAD MB,12,14
ICED SPICED BUN,4,0
ONION NET HT,116,102
CHSE BOARD SEL,4,4
CHDR LCSTR COB,4,0
CLN PUSSY WILLO,4,5
CLN FEST BERRIE,4,1
VIETNMS PORK SB,4,0
RAINBOW VEG,400,461
10 MINI BURGERS,268,296
MINI ROLLS,393,311
1.5KG NEW POTS,560,637
DI GSTR CHS LTT,86,86
PARMA HAM 80G,39,48
NOUR AVO & EGG,31,25
12 SM SLMN APP,124,127
2 PESHWARI NAAN,274,311
DI 4 GARLIC B,154,143
CHICKEN AND CHI,613,684
DINKY PORK PIES,1260,1453
SCOT 300ML SGLE,65,74
CUT RST DIN MIX,344,390
TSB/CRT/SSNAP,890,982
BC Drums/Thighs,198,231
CREAMED SPINACH,821,933
VENISON & BACON,83,57
ONION RINGS,780,937
CRAB BISQUE,226,240
CHEDDAR MASH,588,680
10% FAT BEEF MC,1690,1950
CHKN PROVENCALE,1558,1752
GRK STYLE YOG,219,237
SAUSAGE PENNE,1142,1291
PAD THAI NOODLE,1080,1233
ICEBERG BAG HT,92,102
PARSNIP TRAY,951,1077
ROAST BEEF MEAL,1123,1311
CHILI & COR SOY,22,23
RTR CHICKEN 4-6,319,362
BCN&PRMSN CRISP,293,299
BABY EASY PEEL,238,292
2 RICE PUDDINGS,323,314
CW L/WHOLE BIRD,597,675
10 MINI LOB MAC,354,356
BFY BEEF NDLES,65,76
NECT WHITE 4 PK,423,488
RST CHKN SLICES,1167,1310
IND CRUSTLESS,816,944
12 SB CHS & HAM,436,505
COD&COCONT C,200,233
CHOPIN 1.5KG,920,1069
STRAWB 225G,3959,4560
O/B CUMBERLAND,469,525
LAMB ONE POT,682,805
GF CHKN GOUJON,1075,1177
MED ORZO SALAD,305,317
RICE PUDDING,358,389
SALMON ASPARAGU,1154,1276
CABBAGE HEARTS,1708,1904
SOFT PRUNES,7,6
YL095 BN PC RST,7,8
CALI ROLL SUSHI,181,147
2 SMK HAD LOINS,1792,2033
12 MINI PIES,1070,1214
MINTED NEW POTS,1003,1115
MALTED GRAIN,127,149
SEMI 1LTR,24,24
STEAK CASSEROLE,658,768
GBF CHERRY TUBE,65,83
TOM/BAS CHK SM,65,53
HONEY RST HAM,41,46
LRG WFR TURKEY,51,55
CHOPIN 2.5KG,315,362
RST POT/GSE FAT,453,533
LGE ROAST POTS,27,22
CARR BOSTON BN,657,748
WOODLAND M/RMS,657,746
DI MED VEG,97,66
BEEF STRIPS,1418,1598
PARMTR POT 800G,10,4
GBF PURELY WATE,10,10
20 C/T S/ROLLS,450,506
BABY LEEKS,1036,1205
BREADED SCAMPI,1465,1751
PUFF STEAK 550G,950,1054
WOK BEEF NDLES,958,1106
CW LEM&TYME CHK,66,60
TENDERSTEM TIPS,644,765
LG PROF STACK,95,67
CHKN & PARMESAN,1665,1938
TURKEY WRAP,119,115
CREAMY PARSNIP,61,61
TT RASP,1020,1191
BBY CRN SSNP,178,177
TSB/BNUT MX BG,1109,1257
SWEDE/CRT CUBES,603,705
*DUCK WRAP,238,201
SPCY CHK BROTH,260,299
PINK LADY X4,247,293
EDME/SYA/BN SLD,490,559
L/SOLE GOUJONS,1864,2221
PRP BROC FLORET,1558,1787
QCH LORRAINE,1308,1449
BNUT SP KOH CC,338,373
FRUITY BEAUTY,568,623
MARGHERITA FRIE,716,872
MM PORK PIES,1172,1271
2 GARLIC NAAN,515,604
TRIM SUGERSNAP,335,376
2 RUMP STEAKS,1004,1193
COU CHILLI,576,724
2 STRWBRRY TART,1201,1055
COU CAJUN CHCKN,1171,1418
2 BAC&CHS TARTS,760,878
SAGE/ONION,364,411
STEAK PIE 550G,539,604
LG PK R/BEANS,739,913
CYCLAMEN CER,43,53
SAVOY CABBAGE,264,304
DI PRK SALTIMBO,181,170
JA CHARGRIL CHK,929,1057
BB CHICKEN 2-3,1037,1156
TOM BASIL SPAG,1278,1455
RTR TRKY JT 2-3,391,437
2 EGG CUSTARDS,2544,2112
CHKN FR CURRY,809,975
SEMI 1 PT,425,386
CUCMBR PORTION,1180,1466
FLAT PARSLEY,411,472
L/D PLAICE,1505,1814
TETE CERAMIC,18,21
BL165 BEET SALM,6,5
6 SPECIAL BREED,30,40
GARLIC MUSHRMS,639,733
BREADED CORNISH,6,3
MINI SWEET & SM,12,16
COCKTAIL AVO,6,2
SML STR 2 SALMO,129,164
PK014 FRGBZ TRK,3,1
WHOLE 3LTRS,12,12
0% GREEK PLUM,3,4
PK002 ORGBZ TRK,15,15
CKN/HALOUMI KEB,6,7
WALNUTS LG PACK,3,4
8 BRECK CHIPOLA,33,41
COU T&B CHICK,9,5
BRIT ROAST HAM,6,3
2 RST CHKN LEGS,1059,1245
LGE BREADED HAM,48,58
BASIL JAR,3,4
BB TURKEY 4-6,63,61
400G FRMHS WHT,6,5
FRT/NUT COLLECT,3,4
HADDOCK MORNAY,899,1103
SMKHO ROAST CHI,936,1128
B/LEAF ROCKT BG,998,1160
VEG LASAGNE,1160,1369
PORK SHLDR,155,195
BBY CAULI/BROC,861,1020
10 STEAK & CHIP,145,157
U/S BACK BACON,142,152
CHKN & LK GRTIN,1366,1612
RYL GALA TRAY,68,83
VEG C/BAKES,564,684
MILD & CREAMY,56,74
BEETRT&GOAT CHS,50,61
W/COUNTRY CHED,35,40
BRUSL & POT MSH,35,31
GBF NEW POTS,67,38
CRISPY WEDGES,587,710
IND BROC QCH,884,1102
BRD APPLE WILT,188,187
PORK SSGE & MAS,1583,1947
BFY STROGANOFF,2073,2421
BC BRST FLT X2,389,421
MEX 3 BEAN WP,259,252
*CHICK & BACON,394,312
PK024 OAKCN PCB,20,6
COU LASAGNE,514,640
BNUT&S P ROSTI,191,220
MIM S.HAD & CHS,914,1100
GBF PRWN LYR SL,37,32
O/B H&M GAM SML,51,60
RST PARSNP 300G,514,577
MUSHROOM S/FRY,1426,1721
TOAD IN THE HOL,440,533
MINI SPARE RIBS,908,1122
3 STRAWB TRIFLE,419,386
KIDS CHKN CURRY,671,811
AA ROASTING JNT,1358,1726
SGL BROAD BEANS,28,31
10% L/BEEF MINC,444,547
4 ULT BURGER BU,50,66
CITRUS & GRAPE,25,20
FR P/SO CROWN 6,25,17
12 BBQ CHICKEN,36,41
VEG FOR SOUP,188,168
COTTAGE PIE X2,301,383
NORFOLK  4-6,33,3
HADDOCK MRNY ML,11,12
MWW PRAWN MAYO,44,43
ORGANIC BRN ON,33,43
BL188 SAUS YULE,22,30
GBF FRT FINGERS,41,41
SKINLESS THIGHS,1141,1358
PCN NUT ROAST,155,133
BFY HAM MSTRD,1627,2003
*APPLE TURNOVER,19,4
POT TETE,19,22
MM PRK PIE 145,942,965
NFK BRZ CRWN 6-,27,16
18 INDIAN SELEC,430,489
GF CH &MSH C/B,1319,1676
PREPACK SWEDE,742,915
CHKN SM PAPRIKA,862,1023
BABY PEAR,91,112
DI RST AUB TOM,139,179
BROC&TOM QUICH,1240,1512
SMOKED HAM SAND,16,20
BUTLERS F/H LAN,8,11
SOS BQ,16,14
SOY&GINGER CHCK,261,332
LIVER/ONION X1,506,657
DI MW BEEF LASA,125,158
PARNP LEEK BAKE,287,363
ODB PORK & CARA,361,440
MF COTTAGE PIE,550,698
FW CHIC SKNLESS,37,50
SMOKED STREAKY,95,123
COU CHK SALAD,50,48
CHKN PIE 220G,371,472
BFY PAELLA,1369,1675
PRAWN LYR SLD,1008,1236
6 MINI P/PIES,1452,1846
BANANA SML BG,1407,1674
COU HADK MORNAY,1297,1589
IND PRK PIE145G,513,654
10 MINI SEAFOOD,385,393
NUTTY SPR WFOOD,788,898
BACON CHOP,755,930
2 CHUNKY COD,2156,2664
SWEET POTS,425,511
LUX GOOSEBERRY,77,81
PEA & HAM SOUP,277,341
CHICKEN KIEV X2,1449,1822
SLICED WHOLEML,46,53
GBF C/G T PRAWN,23,28
10 BREADED PRAW,322,416
PICC VINE 400G,298,336
COURGETTES,486,598
PROF STACK DI,900,759
COU COTTAGE PIE,560,716
WHOLE 2 PINTS,248,295
L/D HADDOCK,1537,1862
RED PLUMS,777,991
VEG ONION GRVY,5,7
CARIB PORK SKEW,5,7
LAMB RJ & PILAU,10,12
AUTOGRAPH LA BE,5,7
GF 4 WHT ROLLS,5,7
0% GRK STRAWBER,10,12
IND SAL/BRO QCH,727,901
2 TOFF MERINGUE,521,489
LMB ROGAN JOSH,872,1043
D/REE POTS 2.5K,644,808
TWIN FLORETS HT,282,346
10 CHSE TATIN,353,459
POT/EGG SLD,701,836
COU BEEF RAGU,777,974
DI SIRLOIN STK,27,36
TURKEY&PIGS SW,152,86
PRP YNG SPINACH,1365,1690
AVO TWIN PK HT,49,27
*EW CHICK SALAD,284,218
KALE,961,1165
2PT ORG ENG SS,346,426
SKIM 4 PTS,134,171
CHKN PIE 550G,927,1202
ORG MIXED X10,17,22
SUPER WHOLEFOOD,17,20
DISC MAIN CROP,206,256
ROSA VINE 400G,415,467
LGE VEG S/FRY,1363,1737
BRT APP CB SLW,381,464
HOUMOUS/CARROT,195,171
10 MINI PIZZA,414,540
CHUNKY CHIPS,1107,1403
12  BEEF TACOS,168,215
ORG FR BZE WB 6,12,9
CHIC THIGHS X6,325,433
MSHRM/ONION PIE,948,1237
RD CABGE & BTRT,136,142
BEEF  S/R JNT R,62,84
EX LEAN CORN BE,186,203
MNC BEEF PIE,584,742
DI KEY LIME PIE,38,40
COU CHKN PIE,425,544
ORANGE MLN,71,66
SOY HNY & LIME,71,92
ROSA VERDE BAG,991,1186
10 CHSE BITES,566,701
4 ANGUS BURGER,755,921
ROSE WHT/YLW,220,273
SPECIALITY ORG,7,1
CC SNOWFLAKE,7,8
AVOCADO SPRD,7,8
SM HYACINTH BSK,21,28
LURPAK 500G,7,7
ASPARAGUS TIPS,28,16
O/B SUG BKD GAM,21,25
XLG CMBLD F PIE,382,507
GBF NUT SPR W/F,37,35
GBF MANGO MAD,23,19
KIDS SPAG BOL,908,1176
BUTTONHOLE KALE,177,226
H/HOCK AP/SAUCE,85,109
RHUBARB/CUSTARD,124,147
DINKY SAUS ROLL,489,637
DIRTY FRIES,854,1129
CRT & CRNDR SP,156,204
LG BOSTON BNS,110,69
RHUBARB FRUIT,176,224
GIANT YORK PUD,340,461
BC BRST FLT X4,301,358
F/R MARAN EGGS,25,32
SUPER SPRT SF,25,34
MOUSSAKA,1152,1526
PR WILLIAMS X4,309,360
BEEF LASAGNE X2,874,1135
SIMPLY MUNCHIES,360,454
2 TANDOORI NAAN,606,805
HOUMOUS 230G,436,546
MIXED GRAPE,314,378
MIN MM PK PIE,1051,1281
10 MINI BEEF YO,383,505
2 VANILLA SLICE,450,433
MANGO P P 250ML,36,31
LT BRUSSEL PATE,9,11
SMALL CHICKEN F,1914,2420
6 CRUMPETS.,101,120
GBF SATSUMA FAM,38,40
CHICKEN KORMA,869,1143
ET SGL CRM 300,163,185
PEASHOOT S/FRY,1236,1588
PRAWN BHUNA,870,1098
FALAFEL,879,1150
SHALLOTS,109,148
TMD MOUSSAKA,31,42
UK RASPB,626,677
CHANTENAY CARR,378,455
SGL CRM 300ML,168,199
BENEFORTE BROC,678,908
*STILL LEMONADE,35,37
HAM CHS TOASTIE,710,965
MED VEG,1255,1612
GREEN BEANS,423,534
GBF S/GREEN SLD,37,33
CHK TIKKA RICE,930,1176
RED GRAPE,2074,2728
SUPER GREEN SP,141,169
COU 0% GRK RHU,141,191
CHCKN CHOW MEIN,1791,2338
WHOLE 1 PT,479,630
6 MARAN EGGS,39,51
TURKEY PARCEL,13,17
SWT PURP KALE,26,38
CHOPPED HAM,104,111
DI BFY CHKN BCN,26,30
RAINBOW ROOT VE,442,552
PK026 FRCWN PSO,26,13
SUPER BEAN SOUP,340,407
HP LAMBS LIVER,1220,1598
SANTINI 275G,253,346
ROTIS CHICKN,730,960
10 BACON WRAPPE,485,620
SMKD BACK BACN,146,184
SPINACH GRATIN,547,751
2 MILLION S/BRD,624,810
PK021 FRBZ CRWN,15,10
AUTUMN GLOW,212,280
CRISPY PRAWNS,1085,1462
FOTM PURELY WAT,17,8
GBF ROSE & ALST,17,21
DC SPICED L/DON,51,72
DI PANTOFOLA,246,319
SAG ALOO,551,752
9 MINI MXD ROLL,125,170
COU PORK BAKE,449,603
GBF P/SHOOT S/F,74,63
HAKE FILLETS,771,1033
CRISPY CHICKEN,815,1095
FARMHOUSE 400G,266,360
S.SOFT MED.,152,198
BFY SUPERFOOD C,173,222
SIMPLY CHRY TOM,506,655
ROAST LAMB MEAL,925,1280
GT COO/EDA/SEED,288,353
HUNTERS CHICKEN,500,691
SGL CHEESECAKE,207,194
PRWN SPAGTTI,1343,1803
LGE SAGE/ONION,25,18
C/NUT / CHLATE,25,29
SPICY CHICKEN &,304,404
TOAD IN HOLE,664,917
CHKN S/GRAIN SP,154,202
COU VEG MELT,955,1255
CABBAGE MEDLEY,985,1287
CHICKEN PAKORA,987,1285
O&A SMK SALM X4,191,226
SIMPLY PEAR BAG,222,295
JA SWEET/SMOKEY,668,874
DUCK SPRNG ROLL,342,468
PURELY POMEGR,29,39
COU CHICKT&B,29,30
RASPBERRY JELLY,331,309
W/LD GD BBY MRM,227,293
BRIT RST BEEF,598,795
MINESTRONE SOUP,68,84
BRANDY SAUCE,35,49
4 CRNSH PASTIES,376,519
B.PEPPER/G.CHS,832,1103
MIXED BERRY,232,304
JA BBQ  CHICKEN,753,995
FRESH CUSTARD,121,147
ORG HOUMOUS,652,861
NEW POT CHS BCN,422,532
TOM & BORL SOUP,170,230
DI SHPRD PIE X2,43,64
THYME,693,941
ASIAN LOLLIPOPS,739,1007
R/FAT COLESLAW,888,1102
BRTS FILLETS,224,314
5% XLEAN BEEF M,1071,1425
SPICY LENTIL SP,131,165
*BLT,272,260
BEEF ROASTING J,1195,1639
B.CORN TSB SO,237,286
SS BRST FLT X2,397,513
LAMB ROASTING J,1502,2125
DI MNDRN BUCHE,42,45
BL164 TERR SLCS,20,23
GBF EPEEL LSE,2,0
CORNISH BUTTER,6,9
C/TNUT JNT 6-8,2,2
150ML WHP CRM,6,9
GBF OAK & APPLE,4,6
SALT BEEF RYE,2,0
CRB CLV CHK SLD,2,2
XMAS CHEESE CAK,4,5
SHELLFISH KNICK,4,3
SEMI 3LTR,6,7
BRITISH BUTTER,2,3
VEGETARIAN MINI,4,2
F/FAT S/CHSE,2,1
LMN AMRTTI PLT,2,0
1L PIN/PCH/PAS,6,5
BL170 SC HAM BN,2,3
IRL PROM E/THK,2,3
PINK LADY BAG,70,89
BL152 DR LOBST,2,2
REDCURRANTS,2,3
GRATED PARMS,16,24
CAPPELLETTI HAM,8,11
LG DRSD ORK CRB,4,5
ROCKY ROAD BAR,2,3
CLEM LEM HNY JC,6,9
CLN RANUNCULUS,14,19
PK060 RIB BEEF,10,14
MELON & GRAPE,46,51
SPANISH TAPAS,8,12
FRENCH BRIE,2,3
GBF TULIP WRAP,2,1
BRST FILETS BAG,454,623
AG CELOSIA BQT,4,6
CLN IRIS,60,72
SHELLFISH PLATT,6,0
IRL SLD ONIONS,4,6
QU/BK RC/EDAME,559,743
TRAD COLESLAW,977,1239
CURE RST BEEF,141,172
SWEET POT BAKE,246,343
GF TEMPURA TNDS,829,1141
CHICKEN MADRAS,667,921
U/S EXTRA THK,83,113
HAM IN PARSLY,807,1122
BFY PORK APPLE,1277,1767
QUIN SGRN SLD,67,91
H&S CKN TENDERS,528,751
JA MEXICAN CHKN,967,1330
ORG AVOCADOS,63,78
GBF MIX PEPP S/,63,44
1PT ORG ENG SS,378,501
CRMY CAMEMBERT,59,82
ORG BAKING POTS,447,608
BAC&LEEK QUICH,987,1394
CREAMY CUSTARD,573,607
PRP SPROUTS LG,43,50
AG BLM CHRYSNTH,43,60
JUST ADD SALMON,43,46
CHS LATTICE PIE,422,593
PRAWN GYOZA,570,769
CHCKN CHRZ SOUP,478,631
JA ROAST CHICKN,851,1129
ITALIAN MEATBAL,551,752
RST CHK SLC X3,400,566
SS Drums/Thighs,193,279
C.BOARD S.CRN,27,35
BBQ CHKN KEBABS,617,866
BABY KIWI,104,142
MOZZ STICKS,868,1233
SCOT LGE X6,25,29
BOSTON F/BEANS,896,1185
2 HC SAUS ROLLS,444,605
GBF CAESAR SLD,48,38
BANANA SHALLOTS,142,196
12 PRWN& MUSHRM,401,502
SB PIRI PIRI CH,683,929
SMPLY THIGHS,539,730
HAM CRUMBLE X1,1335,1789
SEASONAL GREENS,347,472
CHICKEN KIEV X2,1077,1494
CANTONESE CHCKN,1082,1529
1L EW ORAN SM,430,568
9 CHS/ON ROLLS,585,712
BREADED TENDERS,653,853
WAFER AA BEEF,728,1035
ORG M/PK PEPPER,19,26
KIDS MEATY PSTA,803,1088
VIT D MUSHROOMS,443,582
12 THAI DIM SUM,369,510
THAI FISHCAKES,1084,1484
HAM & COLESLAW,17,15
KIDS TOM PASTA,1306,1823
HONEY RST SLCS,501,665
AVO TWIN PACK,1258,1702
FINE BEANS STD,818,1021
RTR TURKEY 4-5,30,37
GBF ORZO PASTA,15,15
GBF BERRY MED,15,17
CHK KORMA RICE,733,1024
IND CHS/ON QCH,675,930
PURPLE BROCCOLI,476,641
WFR ODB BRIT HA,194,275
2 STRAWB SCONES,526,587
HAM & EGG SLD,622,787
CHICKEN SAAG,972,1333
OLD ENGLISH FAR,346,500
2 CHOC ECLAIRS,786,786
CHERRY RED LARG,102,99
LENTIL & MSHRM,83,122
COU FISH PIE,1120,1536
BABY SPRING GRN,208,261
ROUND TOMATOES,471,621
RSTD PORK LOIN,200,267
MEX RICE & AVO,627,818
SNACK PACK RED,77,112
CAMPANULA JUG,33,44
CLN ORCHID BOUQ,55,76
9 SLTD CRML TRT,22,30
TRFL CAULI CHSE,566,799
*EW SALMON CUE,73,66
40 SAUS ROLLS,383,518
GOOSEBERRY FOOL,184,263
CHICKEN & CHORI,468,630
BC BRST FLT 750,685,955
LRGE CHICKEN FW,78,98
O/B PORK/APPLE,373,537
COCONUT & LEMON,143,206
CAVELO NERO,275,368
HERB & PARSNIP,327,463
GBF HR SAL FLAK,18,18
LAMB RATATOUILL,198,270
MIM SALM/W'CR,1179,1658
GF CHICK FILETS,841,1166
CARROT BATONS,840,1179
COU CANNELLONI,736,1035
2 SALMON FILLET,1020,1483
THAI CHK SOUP,311,416
BICOLI TSB 80G,436,592
M&D L SALMON X4,75,99
BB CHICKEN 4-5,814,1129
UK ASP TIPS,41,51
CHCKN LIVER H&O,48,53
SALM/PRAWN PLAT,16,9
IRISH BEEF RIB,16,25
CHK CAESAR WP,181,128
LITTLE GEM LETT,947,1326
FREEKEH COUS CA,289,351
ANGUS 10% LBEEF,2076,2982
DI CHOC FUDGE,23,33
MIM COD/PARS,1096,1598
DI FRUIT SLD,593,613
16 BAC & CHEESE,535,701
SUPERGREEN SLD,582,791
PAPRIKA PRAWNS,856,1224
STUFF CHK BRST,667,876
TARKA DAHL,807,1152
PASTEL BQT,7,8
BANQUET TERRINE,14,11
COCONUT WATER,21,11
MIM HAD & CHS,803,1174
SWTCRN FRITTERS,306,445
CHCKEN MUNCHIES,707,1037
ORGANIC LEEKS,439,610
SUPER GRAIN CHI,214,309
CHK & PRSCIUTTO,1668,2398
SWEET MINI COS,278,409
2 ODB PRK LOIN,1805,2569
RST CHKN MEAL,762,1117
VEG SELECTION,1249,1751
2 BREAST FILETS,1047,1473
CLASSIC SLD BWL,870,1232
HOG ROAST PLATE,324,457
COU CHILLI NON,123,170
RED LEICESTER,19,23
STICKY SALMON S,19,25
APPLE JAZZ X4,131,179
TEX MEX SELECT,550,778
GF SCOTCH EGGS,661,906
BULG WHT FETA,115,157
SAV MISO NDL,12,19
18 COCKTAIL SEL,36,22
BEANSPROUTS,1121,1551
LEMONGRASS SCE,82,102
APPLE JAZZ BAG,70,107
SUPER WGRAIN,469,560
MIX PEPPR S/FRY,1499,2088
ORANGE FAMILY,370,504
XMAS CARNA BQT,27,35
RED PESTO CHCKN,155,239
CHK JALF & RICE,495,706
BRTS FILLET 570,963,1413
DILL,326,477
2 LOCH TROUT,1761,2465
LASAGNE ALFORNO,796,1135
DI STICKY TOFFE,226,256
TR SLAW & PT SL,10,15
P/BN S.SEED,5,0
ROAST BEEF,25,5
F/R OMEGA 3 X6,20,24
POT SLD 700G,55,53
C/NUT CROWN 4-6,50,66
YL114 PIGS/BLKT,35,48
CRISPY VEGETABL,85,128
6 ICED TOP M/PI,5,6
