name,total_volume_sold,total_volume_unsold
AYR FTO 24 STIC,1,0
FTO S/FOOD SEL,1,0
CASHEW&PEANUT,1,0
SWT POTATO CRIS,1,0
BEARNAISE,3,0
BELGIAN 400G,1,0
COFFEE TRIO,1,0
SANTA FT LOLLY,1,0
24 SAUSAGE ROLL,1,0
GARLIC HRB CHKN,5,0
KILLOWEN IRISH,1,0
12 PRAWN CONES,1,0
ROSE & BAY RM M,2,0
L/WILLIAMS PEAR,19,1
PADD COLLABLE,35,0
PERCY 25TH BDAY,38,0
2 PORK STEAKS,8,1
LEMON MINT DRES,16,0
GF MINIBITES,8,1
FRUITY FLAPJACK,64,1
LG AUT CER CAP,7,1
SANTA TIN,47,3
GARLIC BULB,113,12
SANTAS STUCK CK,33,4
JAR & SNOWBALLS,13,0
ENGLISH MATURE,13,2
BUBBLY BUNNY,6,0
CARAMEL DONUT,35,1
SANTA ACTIVITY,29,1
NET OF PRESENTS,79,4
CER RDEER NOSES,11,0
P&M STIL/CRAN,27,5
BNUT GIANT C/CO,5,0
COLL GFT VIN HY,25,2
BROCCOLI LSE,396.1,14.2
PICC TOMS VN LS,19,0
GBF BLACKBERRIE,9,2
ONIONS RED LSE,192,2
MULLED WINE JEL,21,0
BAG FOR LIFE,33,2
IRISH LGE X6,8,2
ROSEMARY FOCACC,4,0
MOROCCAN CHKN,8,0
E MED COOL BAG,8,0
*WALNUT BREAD,4,0
SOFT WILL PEARS,8,1
PEAR CONF. LSE,118,9
E LRG COOL BAG,11,0
6 CLASSIC M/PIE,151,10
WILD SALMON,295,63
BOMBAY S.SEEDS,14,0
SOY CHILLI,14,4
CHK & HAM PIE,17,5
NEW POTS LSE,286.96,27.14
NECT LOOSE,11,2.5
BL163 PRWN PLAT,3,0
WHITE GRAPE LSE,9,2
TIKKA M & RICE,57,15
ORG EGGS LGE,21,7
BRITISH PLUM,3,1
LGE STRW TRIFLE,9,3
12 COCONT CHICK,3,0
PORK SAGE&ONION,3,0
GBF ROSE G/CONE,6,1
CHKN PARFAI,3,1
SIMPLY HALLOUMI,3,1
BL151 SHELLF PL,3,0
4 CHCKN BRSTS,61,10
SIMPLY MIXED 10,23,5
12 YKSHIRE PUDS,8,2
IRL STRAW,8,1
CORNISH CHEESE,8,3
IRL BLACKBERRY,8,2
QTR SOURDOUGH,13,0
DISC LOOSE POT,555.95,16.1
D-I ROTISS CHKN,163,61
PSO BAUBLES,5,1
GBF MOZZ TOM SL,5,2
MLN MNG & P/APP,5,2
DI 2 CHK ENCRT,86,23
GINGER LOOSE,82.36,4.79
EDAM & CORIANDE,48,15
DI 6 POT CROQS,234,80
WEST CTRY BUTTR,85,27
LASAGNE,76,32
F/R MEDIUM X12,29,11
APRICOTS,11,3
CARROTS LSE,180,3
SPROUTS LSE,374.56,28
CLN STOCKS,17,6
MARIS PIPER LSE,633.25,28.75
SULT/RAIS MEDLY,25,12
F/R EGGS X6,156,52
LEMONS LSE,590,213
SCT ORG V/LG X6,6,3
IR ORG V/LGE,2,1
IRISH LGE X12,2,1
T.YAKI CHK SLD,12,1
SHADES OF ROSES,2,1
PK019 FBBZ CRWN,34,8
GR243 CHSE TREE,2,1
FEEL GOOD FRUIT,4,2
SUPER NUTTY WIT,4,2
CAULIFLOWER STE,10,5
GBF SSGE PENNE,2,1
MIX NUTS SMALL,2,1
IRL SMK BACK BC,4,2
MOZZ GIRASOLI,14,7
TRE COLORI POMO,20,8
CHDDR & CARAM,6,3
MWO FLOUR,2,0
FTO CLASSIC PLT,2,1
GBF MRCCN COUS,2,1
12 BILLION SHOR,6,3
PK013 FRGBZ TRK,4,1
STRATFORD BLUE,4,1
JAPANESE MICRO,8,3
MINI KIEVS,2,1
LARGE ALLIUM CO,2,1
0% GRK VANILLA,16,7
CHOC TIFFIN,4,1
800G FRMHSE WHT,2,0
KING PRAWN,1516,604
BAGELS,25,0
PAPAYA,21,3
LEEKS LSE,81.8,11
LARGE WATER MEL,15,6
SEMI 2 LTR,15,6
150G COVE MATUR,15,6
DI CHKN LATTICE,101,54
SMPLY MIXED X6,226,87
OAKHAM CRN 6-10,24,9
6 POTATO CROQS,1854,770
HONEY RST HAM,22,12
CARROT BAG 500G,1466,664
SCOT VRY LGE X6,20,11
MID EAS TURKEY,29,16
APP PNK LDY LSE,134,3
CAULI CHS 300G,877,416
F/R SPL BREED,27,11
GR206 UD TRIFLE,9,2
L/F LEERDAMMER,18,4
DUCK SPRING ROL,9,1
LEMON DRIZZLE B,23,10
DI BFY CMBRLND,14,2
TROP&KALE,7,0
ULTIMATE MASH,1309,669
CARR BATONS,910,419
WELSH SEMI 2PT,40,17
PARSNIPS LSE,408.88,68.7
BABY SPROUTS,1257,599
F/R EGG LGE X6,53,26
DINE IN CHICKEN,70,35
CH/LM/CNUT SEED,20,0
CLN CANDELABRA,5,2
SWEETCURE HAM,5,2
VOL AU VENTS,5,2
ONIONS BRWN LSE,158,4
4 M/PIES PARCEL,28,13
PRP BROAD BEANS,28,16
MINI NEW POTS,1857,813
SPROUTS NET,1382,740
TAGLIATELLE,34,16
6 YKSHIRE PUDDS,811,408
GBF PAPPERDELLE,8,2
ITALIAN MCRO SL,8,5
TURKY&BACN PAST,8,2
SCOT LGE X12,22,13
ORG FR BRZ CRWN,11,2
NEW POTS 1KG,2062,948
SPR BROC/SPIN S,365,165
SCORN KEBAB,17,8
IRISH CASHL BL,17,11
DI SB GARLIC BR,295,167
12 POTATO CROQS,138,59
LG VINE TOMS LS,97.97,5.81
CARROT BAG 1KG,1149,625
SCOT MED X6,15,7
CHKN RAVIOLI,12,7
4 CHSE RAVIOLI,36,22
SPNSH ORNGE JUI,6,1
RED VELVET MFFN,3,0
GRANARY F/HSE,3,0
GR226 SANTA CK,3,0
EGG AVO ED SLD,9,3
GF SYRUP PUDDIN,3,2
GBF MED ORZO SL,3,2
2% GRK YOGURT,3,2
PK036 WHL OAK T,3,2
PEAR & BLACKCUR,3,0
BUBBLY SANTA,3,0
COSBERG HEARTS,3,2
400G TIGER LOAF,3,1
MARIS P 1.5KG,2088,1103
2 APPL FILO PIE,74,46
C.BEEF C/B,781,472
LOOSE FIGS,116,30
DI STK ON PIE,19,10
PK042 DUCK C&C,16,3
CAULI CHS 450G,1791,1061
DI SPR GRN LYR,193,128
PEA & RICOTTA R,55,36
4 SPOOKY LOLLIE,13,0
ONION NET,218,119
VEG CHILLI,17,11
PK025 OAKCN PCB,17,3
SWT CH NOOD ED,34,24
BABY NEW POTS,1639,898
8 WRAPPED PRWNS,145,89
TRAD D/GLCESTER,14,8
GBF CHK RISOTTO,7,2
HGH PRO PEA NDL,28,18
KIDS MEATY PSTA,7,5
BL144 VEG P SEL,7,4
P/APPLE&WATERME,7,0
ULTIMATE MSH X1,703,446
MED CMBLD F PIE,1329,859
SAUSAGES & MASH,75,50
DUCK SELECTION,193,106
SMALL AUTUMN BI,26,19
KING CHERRIES,26,18
GARLIC BRD SLCS,1606,1018
SGL SPROUTS,1455,843
EGGS LGE X6,15,8
SAL MILANO 30G,30,22
*WENS/CARROT,592,234
DI PEA & BROCC,713,329
FRITES,1480,848
TSB CARR SSP,916,575
HS XMAS SELECTI,176,82
ORG EGGS LGE X6,27,10
CHEESE CROQS,1031,680
LEAN ROAST CHK,102,68
POTATO GRATIN,826,526
WITH JUICY BITS,4,3
3 BIRD ROAST,4,0
MW NEW YORK CC,4,2
SGL FINE BEANS,856,560
1L FC ORANGE,4,3
SCT MAT RED CHD,4,3
1LTR SOYA MILK,4,3
ASIATC LILY POT,4,3
RICE MILK,4,3
YULE LOG,4,3
MW EGG&WCRESS,12,6
DI BRC/CAR/COUR,516,261
SGL NEW POTATO,1314,798
GARLIC BAGUETTE,1624,926
DI CHICKEN CHEE,543,347
MARIS P 2.5KG,1166,701
COURGETTES LSE,61.4,11.9
LOBSTER&SHELLFI,21,7
YL122 POT DAUPH,21,10
COUS RST VEG 2,34,21
EC STUFF DUCK,13,8
APPLE HRVST BRD,13,1
COCKTAIL SAUSAG,13,6
ROAST POTATOES,326,222
HAM CHEESE SSF,209,81
SGL PEAS,442,292
KIWI FRUIT LSE,90,22
G/F CHEESE&PICK,9,3
4 POTATO ROSTI,1049,731
ROASTING POTS,1553,1078
SGL TSB,1018,671
4 JACKET POTS,1628,1066
BEEF CASSRLE X1,804,546
EASYPEEL FAMILY,2512,1592
CHICKEN W CHSBC,141,98
EW NY TURKEY,33,11
PORK STRIPS,874,594
DI CHICKEN PANA,114,83
YL111 BRD CR SC,38,27
BROCC/CHSE BAKE,1336,899
PARMTR POT 380G,2266,1489
EASY PEEL LSE,170.83,6.12
4 V YKSHIRE PUD,429,283
COD & PARSLEY,1411,995
BRAISED STK ML,1102,780
SES PRN SLD,5,1
MINTED NEW POTS,15,9
RF OLV SPD 500,5,4
1884 SOURDOUGH,5,3
OATY LOAF,5,4
SCOT 300ML DBLE,97,67
"CHKN, CHS & HAM",1189,831
PRP SPROUTS,1584,1108
ORG EGG V/LG X6,21,16
BRAEBURN TRY X4,63,46
