upc,name,total_volume_sold,total_value_sold,total_volume_unsold,total_value_unsold
34098,JA M SS CHK,150,420.1,277,775.9
34432,GBF EPEEL LSE,6,2.1,0,0
34616,BFY PIRI CHKN,101,404,238,952
34944,MINCED LAMB,79,316,269,1076
35415,CARRT/POT/SWEDE,1096,2195,891,1782.5
35460,6 JUMBO B PRAWN,17,85,116,580
35620,PICK & MIX MILD,2,1,8,4.03
35644,PM MAT C/COVE,3,1.5,7,3.5
35668,PM EX MAT C/COV,13,6.56,2,1
35910,GSTR CRN CHK X1,52,208,129,516
35934,GSTRO CHK KIEV,485,3395,570,3990
35958,HAM CRUMBLE X1,168,672,311,1244
36085,CHS&ONION PIE,7,14,15,30
36351,P/BELLY H/RST,14,70,39,195
37457,CORNISH CRM,59,106.2,161,289.8
37631,FW  2 TUNA STEA,32,192,117,702
38140,STD TOPSIDE JNT,10,156.14,54,781.05
38317,AUTHENTIC GREEK,16,32,19,38
39154,SLTD CRMEL PROF,53,79.8,47,70.5
39185,TOFFEE SUNDAE,7,10.7,10,15
39246,COCONUT PRAWNS,18,99,63,346.5
39277,16 BAC & SAUS,0,0,2,10
39314,TT GAMMON PEA/M,173,661,331,1286
39352,OLD ENGLISH FAR,59,185.8,117,366.8
39390,SWTCRN FRITTERS,64,160,133,332.7
39420,VEGETABLE GYOZA,52,130.4,110,275.6
39444,EXTREMELY CHOCO,1,11,2,22
39536,BUTTERFLY CAKE,2,24,2,24
39710,12 POTATO CROQS,144,415.8,111,323
39826,SLICED HAM,16,64,17,68
40341,MXD NUT IN SHEL,0,0,2,1.5
42017,B/NUT BANGERS,6,15,18,45
42710,CORNISH BUTTER,3,7.5,2,5
42789,CREME BRULEE,27,91,60,206.5
42833,EX FINE ASP,15,37.5,43,107.5
42833,UK EX FINE ASP,4,10,0,0
46473,CC MAT GRTD CHS,2,6,7,21
46992,E NAV SESAME BA,1,2.1,0,0
47685,THICK CUT RIBEY,7,70,61,610
47715,THICK CUT SIRLO,11,110,19,190
49191,DBL CRM 600ML,68,156.4,78,179.4
50999,PARMTR POT 380G,571,1315.1,628,1448.4
51446,0% FAT GRK 1KG,10,20.1,28,56
51477,0% FAT GRK 150,26,14.75,27,17.15
51484,0% FAT GRK 140,11,7.7,13,9.1
51668,GREEK YOGURT X4,5,7.5,10,15.1
51705,2 GARLIC & CORI,2,3,0,0
52184,RAINBOW CARROTS,469,469.65,321,321.8
52207,ROSA VNE TOM X4,25,50,31,62.1
52405,CAVOLO NERO,24,30,41,51.25
53297,PLUM DUCK BRST,16,112,87,609
53525,12 WF SALAMI,27,154,82,481
53525,WF PIZ SLMI&PPR,40,200,63,315
53587,12 SB MG MEATY,146,586.7,225,900.75
53617,9 SB CHS & HAM,110,330,169,507
53631,PARMTR POT 800G,149,512.5,173,598
54782,THAI VEGETABLE,19,76,86,344
55239,2 PAPRI PK STKS,29,159.5,71,390.5
55246,PORK CHOPS,49,209.22,64,261.23
55376,GSTR FISH&CHPX1,78,350.5,177,796
55505,GSTR EMP PIE X1,19,76,67,268
55734,2 CAJUN BRST,161,536.3,374,1275.57
55802,GBF ORG BLBRY,4,12,2,6
56052,RED GRAPE LSE,8,40,1,5
56168,NOR CAMEMBERT,45,128.55,76,217.2
56373,4 PAUPIETTES,10,100,50,500
56496,FIGS,2,5,1,2.5
56618,ORG DICED CHKN,8,35,25,104
56939,CHKN TGHS,146,292,244,488
57189,SPLY CHIC WINGS,29,58,82,164
57905,AUTHENTIC GREEK,6,7.5,8,10.05
58001,APPLE CRUMBLE,74,222,115,345
58018,APPL BLCK  CRUM,99,297.2,133,399
59589,MINTED NEW POTS,645,1420,595,1311
59596,SWEET POT WEDGE,132,303.6,260,598
59619,ROASTING POTS,1222,2811.8,1623,3735.7
59640,GARLIC POTS,80,176,139,305.8
59657,CRISPY WEDGES,438,1007.4,862,1982.7
59671,MED VEG,159,365.8,335,770.5
59688,LAYERED VEG,945,2268.9,909,2182.3
59695,SUPER GREEN VG,880,2112.2,908,2179.6
59701,POT SLICES,511,1069.7,617,1324.1
59718,PEAS & BROCCOLI,1004,2409.6,1005,2412
59749,HONEY PARSNIPS,349,872.5,591,1477.5
59763,GARLIC MUSHRMS,365,841.1,440,1012
59817,LGE FILLD MUSHR,69,172.5,136,340
60394,LENTIL BAKE,69,207,104,312
60462,GBF BLACKBERRIE,0,0,0,0
60738,BUTCHERS SAUS,21,48.3,49,112.7
61599,ROSEMARY POTS,574,1320.5,682,1568.9
61629,JAMON IBERICO,0,0,6,60
61681,MEAT/MANCH PLAT,1,12,10,120
61704,BL175 SPAN MEAT,1,15,3,45
62299,CHK JALF & RICE,34,119,99,346.5
62398,MW HONEYCOMB CR,1,1.15,0,0
62503,FRENCH G/FOWL,12,96,99,792
62527,ORG MAT CHEDD,0,0,2,6.5
62626,12 MOZZ BITES,0,0,1,5
62640,10 MINI LOB MAC,0,0,1,7
62862,RST CHKN AVO,23,72,17,54
63883,R2D2 TIN,3,12,0,0
64163,2 SCOT SALM MED,30,255,120,1020
65252,4 BMILK PCAKES,0,0,1,1.6
65269,4 CHOC PCAKES,1,1.6,4,6.4
65504,PR WILLIAMS X4,46,115,41,102.5
67591,SPNSH ORNGE JUI,0,0,3,5.4
68789,RM HERRINGS,60,180,55,168.4
68949,GLTTR P/WILLOW,5,30,2,12
69366,BANANA LOOSE,7,5.75,0,0
69984,CAVELO NERO KAL,24,28.8,55,66
70324,TRFL CAULI CHSE,35,98.1,60,168
70430,CRM CHKN PIE,102,204,197,394
