upc,name,total_volume_sold,total_value_sold,total_volume_unsold,total_value_unsold
151344,TOM & BASIL SP,169,340.4,263,527.2
151351,CRT & CRNDR SP,28,56.1,48,96.3
151436,BRC/BBYCRN/CAR,1216,2433.1,1418,2836
151542,ICEBERG BAG,31,31,20,20.05
151733,CARRT SEED BITE,2,3,5,7.65
151795,ABER BEEF/MSTRD,4,12.3,1,3
151863,RED LEICSTR&TOM,0,0,2,5.4
151917,CREAMY CUSTARD,79,189.6,123,295.2
151948,DOUX DE MONTGN,2,4.02,3,6.28
152181,HSN DUCK SUSHI,2,4.6,0,0
152495,HAM SMK GRL W/T,11,33,5,15
152549,WILT HAM BRD 4,88,250.2,116,324
152648,CHICKN BRST 1KG,58,406,144,1008
152709,DF SAL CHS,82,205.2,172,430
153232,HONEY AND GINGE,36,63.75,53,94.25
153256,MADAGASCAN VANI,42,75.35,80,144.75
153577,MANGO & BERRIES,3,7.5,0,0
153621,MGO STR RSP BLU,18,54,23,69
153737,P&M NOR BRIE,2,1,9,4.63
153782,GREEK FETA & OL,27,109.25,27,108
153843,SK COR POT SLD,0,0,11,18.7
153928,PKL CABB SLAW,0,0,5,8.5
153966,SKINNY CHPL SLW,5,8.5,1,1.7
154130,HON & MUST DRS,0,0,2,2.3
154178,ROAST BEET AND,21,52.7,36,90.4
154208,WALNUTS,11,28.6,13,34
154222,4 CHS RAVIOLI,752,2256,1045,3141
154314,RST CHK W/ STF,581,1162,822,1644
154482,SPEYBAY MUSCAVA,51,255,82,410
154512,CHARGRILLED EAS,47,188,61,244
154529,OAK SM SLMN 10,5,60,5,60
154536,PRP SLCD RUNNER,61,152.65,172,430.15
154628,JUST ADD CALAMA,23,69,61,183
154697,JUST ADD TROUT,53,159,116,348
154741,CHARGRILLED GAR,289,1156.5,334,1339
155090,SIRLOIN STEAK,23,184,47,376
155106,2 RUMP STEAKS,16,98.41,42,264.11
155656,HC SALT/PEPPER,2,1.6,0,0
155663,2 ALBACORE TUNA,62,310,393,1965
155915,2 BST BURGER,414,1665.15,614,2460.75
156066,GLZ PRK RIB,2,12,11,66
156370,CORONATION CHIC,15,59,113,447
156509,6 CORNED BEEF B,139,454,211,688.25
156547,10 MATURE CHEDD,94,306.2,232,756.4
156554,6 MINI CHEESE A,260,848.9,267,873.4
156592,6 CORONATION CH,211,686.5,272,886.25
156660,KING PRAWNS WIT,65,211.75,127,413.55
156752,ONIONS BRWN LSE,5,4,0,0
156769,STONE IN BELLA,1,3.25,4,13
156783,SMOKY PAPRIKA C,28,91.2,111,362.15
156998,GBF VEG LASAGNE,1,3.2,0,0
157070,PITTED DOUBLE S,1,3.25,3,9.75
157087,STONE IN FRENCH,0,0,8,26
157094,GREEK OLIVE SAL,9,29.25,10,32.55
157117,BANGERS & MASH,253,632.7,397,995
157650,COCO LIME ESCAL,149,501.29,378,1294.82
157681,PIRI PIRI ESCAL,28,96.24,123,420.85
157933,BLKBRRY,0,0,1,3
158091,HAM &SMKED MOZZ,2,6.6,2,7.2
158190,MW CHCKN BACON,3,11.3,2,7.4
158527,MW HAM NTRS W/T,52,104,130,260
159043,COX POLYBAG,5,9,3,5.4
159241,COU PRWN RISTTO,23,69,47,141
159357,COU HAM TAGTLLE,514,1542,675,2025
159616,I QCH LORRAINE,274,480.35,405,708.75
159623,QCH LORRAINE,667,1605.1,1213,2939.8
159715,EW TUNA/SCORN,6,14.6,14,36.2
159814,CHERRY RED SML,4,10,5,12.5
159944,PRP CHEF CARRTS,595,596.15,427,428.6
160032,LEMON CHICKEN,225,900.25,332,1330.2
160117,SGL STRW TRIFLE,11,16.5,10,15
160919,LMB ROGAN JOSH,722,3252.5,1065,4800.75
161213,BOMBAY ALOO,192,432.9,328,740.55
161329,8 PRAWN TOASTS,0,0,3,11.25
161329,PRAWN TOAST,22,60.7,49,137.25
161572,RASP JAFFA TWIN,0,0,1,1.5
161589,12 WF CURED MT,24,144,78,460
161589,WF PIZZA ITL MT,39,195,43,215
161848,EVERYDAY TRKY,7,7,20,20
161923,ROTI PORK APPLE,54,147,107,296.4
161978,EVERYDAY HAM,11,11,19,19
161992,EVERYDAY CHKN,8,8,10,10
162005,FRESH CUSTARD,242,387.2,277,444.1
162166,DINKY PORK AND,76,172.5,242,564
162173,COLCANNON MASH,481,1155.1,782,1880.3
162364,RED CABBGE 600G,12,42,33,122
162401,PULLED PORK SAU,68,176.2,127,328.52
162777,BRITISH PANCETT,10,60,19,114
162838,OATY FARMHOUSE,2,3,3,4.5
163132,OAK MED CHKN,59,261,191,844.5
163200,GBF OAK CHKN,1,4.75,1,4.75
163552,SKNY 4 CHOCL MS,105,183.95,92,161.1
164108,2 FILLET STEAK,12,144,56,672
164184,NEW POTS & VEG,80,120,184,276
164467,HOISIN TROUT,25,100,70,280
164634,GIANT NOCELLARA,1,3.25,1,3.25
164696,MED BEEF JOINT,9,154.23,28,559.5
165006,COURGETTES LSE,8.1,15.39,2.9,5.61
165501,8 BERRY MUFFINS,5,8,4,6.4
165518,2 RSPBRRY YM YM,4,5,8,10
165693,ORG CROP POTS,9,22.5,20,50
165761,RASPBERRY & CHO,23,72.8,51,166.6
165907,BLACKCURRANT &,29,93.8,91,295.4
165969,STRAWBERRY & RH,14,52,43,168
166010,F/R OMEGA 3 X6,6,12,8,16
166201,RED/GRN CHILLI,26,26,41,41
167277,ROSEMARY FOCACC,2,4,0,0
167628,2 SBRY&CREAM CH,38,95,41,102.7
167697,ULT CHOC ECLAIR,15,37.5,50,125
167765,2 S C CHOUXNUTS,86,215,86,215.1
168069,6 GRAIN CRUMPET,4,4,1,1
168793,PRP RUNNER BNS,634,1110.1,462,809
169042,ITALIAN BG 120G,9,18,7,14
169172,QTEE PEAR,2,4,1,2
169417,EC CHOC PRTY CK,2,25,4,50
169448,DINKY HONEY & M,60,133,221,509.5
169752,PICC VINE 250G,26,65,18,45
170000,5 MINI CONNIE C,0,0,2,4
170277,S.BERR & MGO,0,0,7,21
170758,CHICKEN& S/CORN,8,21.6,6,16.2
170796,LGE SHEPHRD PIE,160,640,271,1084
171243,CHK RST LN,76,76,69,69
172134,SGL CRM 300ML,135,135.35,162,162.15
173216,TENDERSTEM BROC,570,1141.2,567,1135.3
174930,4 OATMEAL ROLLS,2,2.5,7,8.75
174947,4W/ML FINGER RL,3,2.7,3,2.7
175388,2 STEAK SLICES,221,552.5,268,670
175579,PRK PIE MINI 6,400,800,703,1408
175609,27 CHOC CUPS,0,0,1,6
175661,LEMON CURD CC,36,144,106,424
176262,QCH CHS ONION,32,80,79,197
176378,QCH BROC TOM,586,1462.7,976,2413.7
176439,CRANBERRY JC,6,8.8,14,24.2
176491,2 BATTERED HAD,102,306,176,528
177108,ONIONS RED LSE,5.5,5.5,1,1
177467,PATE SMK SAL,795,1432.1,990,1782.7
177481,CRAB DRESS LYR,43,237,113,622.75
178785,NATURAL SHEEPS,0,0,7,16.45
178839,F/R EGG V/LG X6,35,91,25,65
179324,SIRLOIN BAG,3,48,35,560
179874,CHKN PIE 550G,86,344,148,592
180160,R/ROOSTER 2.5KG,10,25,15,43.46
180177,MED CUMBLND PIE,965,2412.5,967,2417.5
180276,DINKY POSH DOGS,76,172.5,279,641.1
180344,COU CANNELLONI,320,960.2,505,1515.2
183185,DISC LOOSE POT,22.5,28.125,1,1.25
183192,MARIS PIPER LSE,14,28.1,0,0
183512,HADDOCK MRNY ML,239,788.7,284,937.2
183659,STEAK & MASH X1,1037,2074,821,1642
183673,BEEF/ONION SLC,253,632.5,260,650
185394,BBQ CHICKEN,544,2178.95,751,3007.45
185448,VERY VEGGIE,147,588,262,1048
185523,MIX PICC VINE,18,45,13,32.5
185677,C/COUS VEG SLD,7,15.4,4,8.8
185905,EW PRAWN MAY,14,36.6,9,24.5
185943,BANANA MILK,3,4.2,11,15.4
186285,CLASSIC SELECT,2,7.1,4,14.8
186391,DIP RF SR CRM,16,23.8,52,76.2
186803,1L P/APPL/LIME,10,18,5,8.5
187053,JA CR SMK BACON,28,78.6,46,128.8
187084,TOM/BAS/CHK.,1,3.8,1,3.8
187183,SEMI 1 PT,197,98.5,145,72.5
187190,I PINT SKIMMED,239,119.5,374,187
187213,WHOLE 1 PT,225,112.5,301,150.5
187428,UK BABY MUSHRMS,97,121.4,133,166.35
187640,EXTRA FINE ASP,277,518.7,373,704.6
187824,STEAK PIE 1KG,0,0,2,24
187879,RCKT WCRS SPIN,11,22,11,22
187978,40 SAUS ROLLS,0,0,5,25
188418,GBF SWEET & SOU,2,6.6,2,7
188425,SPAG CARBONARA,999,2998.7,1302,3909
188449,GBF SHANGHAI BE,2,9,1,4.25
188500,GBF CHICKEN CHO,10,42.25,7,29.75
188517,GBF CHICKEN SAA,1,4,0,0
188586,L/THER C/FRAICH,106,127.7,118,142.2
188593,GBF MIXED VEGET,0,0,2,8
188722,GBF STICKY CHIL,0,0,2,8
188739,GBF CHICKEN TIK,2,8.5,2,8
188968,DF TUNA SWCN,41,51.25,121,151.25
189095,JA CR UNSMK BAC,34,95.3,61,170.9
189231,GBF CHICKEN FIL,8,32.75,3,12.5
189323,GBF ROSEBUD BRT,0,0,1,1.6
189781,TRPLE CHOC CKIE,5,20,5,20
189798,STEAK PIE 550G,210,840.48,291,1164.87
189958,LG PK R/BEANS,384,707,453,853.5
190947,US THIN/CRISPY,30,75,58,145
192125,CHKN LK BACON,948,3318.6,998,3495.2
192927,5 PLAIN BAGELS,7,11.2,1,1.6
193238,FLOWER FSTVL CK,6,90,5,75
193429,6 WHT FINGER RL,1,1,7,7
193702,CRISPY 1/2 DUCK,29,290,88,880
193740,MW PRAWN MAYO,4,13.2,1,3.3
193764,APPLEPEANUT DIP,0,0,2,3.25
193771,CHKN PIE 200G,237,474.2,341,682
193795,TEMPURA PRAWNS,43,107.5,152,380
193801,CRISPY CHICKEN,114,285.7,184,460.4
194044,CHEESE LYR SLD,3,8.25,9,25.05
194211,BRAMLEY PIES,2,3.5,1,1.75
194242,UK ASP TIPS,0,0,0,0
194310,CHK PANANG B41,7,35,26,130
194839,MW MT FREE NUGG,2,5,3,7.5
194839,No chic n nugge,103,257.6,185,462.5
194846,CHKN PRWN LAKSA,22,99,72,324
195102,BUFFALO MOZ 125,2,4.8,13,31.2
195157,4 GARLIC BREADS,550,1102.2,423,847.1
196000,PRK PIE 2,169,211.35,257,321.25
196260,4 SALMON FILLET,141,1410,349,3490
196635,LAMB HOTPOT X1,324,648,360,720
196796,JA CHK TIKKA,268,751.1,435,1220.4
196819,PAST/SPINCH KER,87,191.4,68,149.8
196970,UNSMK SKNNY BCN,18,45,16,40
197083,MW LEMON CHSCK,75,120.1,92,147.2
197182,*APPLE TURNOVER,13,13,0,0
197564,PRK & EGG PIE,73,219,177,531
197649,24 SKIN M/BALLS,64,169.3,146,386
197687,BL LAMB MINT RC,6,60,11,110
197694,LAMB MEATBALLS,12,36,34,102
197946,F/R EGGS X12,122,433.7,118,419.05
198424,ORNGE MNGO PRSS,6,27.15,0,0
198707,2 SCOTCH EGG,430,430,510,510
198721,LG VEG MOUSSAKA,35,115.5,126,415.8
199032,GARLIC BULB,7,3.5,2,1
199148,GREEK SALAD,27,59.4,12,26.4
199162,PRK PIE LARGE,74,148,157,314
199216,SMK THN/CRISPY,22,55,39,97.5
199247,OX TONGUE W/T,24,72,48,144
199810,LASAGNE RAVIOLI,1,3,0,0
199841,RED LEICESTER,3,7.2,2,4.8
200011,6 CHSY & GRLC S,669,1004.9,581,874.7
200110,BRAISED STK ML,782,2580.6,905,2986.5
200615,12 GRLC DOUGHBL,41,82,57,114
201360,WILD SCALLOPS,35,262.5,114,855
201452,MINTED NEW POTS,310,465,392,588
202114,MW 2 CROISSANTS,0,0,1,2
202138,MW 2 CHO TWSTS,4,8,6,12
202183,MW 2 APRCT PSTR,4,8,7,14
202343,CHCKN RISOTTO,611,1833.35,920,2767.95
202664,PEPPERCORN SCE,35,70.09,35,70
203029,SGL RASP ROYALE,69,103.5,65,98.1
203838,LEMON CURD CHSC,58,159.95,151,416.7
203944,ORG PIC VN 200G,5,12.5,14,35
204224,KIDS CHKN TEDDY,69,172.5,174,435
204576,2 SALM RST TOM,99,363.74,147,564.06
205306,2 SALMON PARCEL,51,331.75,153,994.5
205504,CHK BCN SWTCORN,30,75,103,257.5
205597,SALM SOFT CHS,3,10.2,3,9.9
205887,POINT RED PEPPR,10,18,4,7.2
205986,CAESAR SLD BOWL,3,10.5,4,14
206310,BEEF LASAGNE,1696,5090.8,1761,5285.8
206402,PASSION FRUIT,2,4,1,2
206778,COU BRAISED STK,740,2220,933,2799
206945,PROS MALLOWS,0,0,3,12
207218,TUNA LYR SALAD,30,82.6,10,27.7
207355,4 MALTED GRAIN,1,1.25,7,8.75
208130,12 VOL AU VENT,0,0,1,5
208994,SALAMI MILANO,2,4.4,5,10
209144,RED VELVET CAKE,1,2.8,1,2.8
209663,MOUSSAKA,94,376,209,836
209922,CAULIFLOWER,1242,1242,1248,1248.3
210003,LG VINE TOMS LS,3,9,0,0
210409,DRUMSTICKS,75,139.5,209,402.5
210713,CHKN RED WIN S2,482,2892,815,4890
211529,ORG WHOLE CHICK,105,1207.87,227,2626.39
211536,ORG BREAST FLTS,33,192.61,81,481.61
212069,CHK & PRSCIUTTO,63,378,167,1002
212311,1/2T H/SHLL PEA,35,65.1,63,117
212434,MED CMBLD F PIE,883,2207.5,865,2165.3
212526,DBLE CRM 150ML,56,42.08,62,46.62
212595,DI 3X CKD CHIPS,13,32.7,8,20.2
212755,CHICKEN KIEV,539,1939.1,571,2074
212847,WHEATEN BREAD,0,0,4,5.2
212854,VENISON HOT POT,81,324,172,688
212861,LAMB ONE POT,21,93.5,43,191
212878,GSTRO MEATBALLS,58,232,103,412
213653,BF & CAULI PIE,461,1521.3,610,2013
213738,HM & CAULI BAKE,335,1105.5,553,1824.9
214025,CHICKEN BALTI,213,852,312,1248.25
214278,SPEC CHOW MEIN,141,564,222,888.5
214445,BROCC/CHSE BAKE,778,2023,981,2554.6
215183,YAKULT 7X65ML,12,35.95,25,74.9
215237,ORG CABBAGE,32,56,62,108.5
215558,LACTOFREE SEMI,2,2.8,1,1.4
215695,GBF 3X CKD CHIP,3,8.1,0,0
216012,GBF  MTD POTATO,0,0,1,2.5
216517,DI BRCCL & CHS,2,5.2,0,0
216586,DI 2 SCOT SLMN,21,99,13,63
216906,BUTLERS F/H LAN,2,8.77,2,8.14
218580,SML STR 2 SALMO,30,165.5,85,467.5
219396,GARDEN VEG MDLY,274,685,443,1107.5
219396,summer veg medl,141,352.5,215,537.5
219426,BUTMILK TENDERS,68,272,159,636
219440,12 WF MOZZERLA,160,941.5,304,1797.25
219440,WF PIZA TOM&MOZ,67,335,58,290
219549,FTO PCH SALM,0,0,1,40
219631,H&S CKN TENDERS,114,456,209,838.25
219709,SKNY 4 LEMON MS,192,336,233,407.85
219983,NAS LEMONADE,0,0,8,16
220415,LANCS HOTPOT,400,1320,588,1940.4
220453,LAMB SHANKS X2,59,708,194,2326
220552,SPICY LENTIL SP,26,52,54,108
220576,CHK & MSHRM SP,506,1267.2,573,1436.3
220835,STRATHDON BLUE,1,3,1,3
220873,ISLE OF MULL,0,0,1,4.1
220965,CROWDIE,0,0,1,2.5
221054,CROZIER BLUE,0,0,2,7
221177,DI APPLE TART,26,80.5,30,87.5
221344,ORG 12% MINCE,46,194,166,708.5
221351,ORG RIB-EYE STK,9,117.88,38,493.66
221368,ORG SIRLOIN STK,8,98.07,41,504.96
221375,ORG FILLET STK,5,83.38,20,326.74
221399,ORG RUMP STEAK,16,135.52,54,452.62
221412,ORG BEEF JOINT,6,132.7,50,1119.14
221436,4 ORG LOIN CHOP,17,106.39,60,370.3
221443,SPINACH & RICOT,618,1855.5,572,1717.5
221450,2 ORG LEG STKS,24,151.58,90,537.14
221467,ORG 1/2 LEG,7,112.25,45,714.25
221481,ORG RACK LAMB,24,276.68,85,957.09
221658,3 SBERRY TRIFLE,135,364.5,158,426.8
221702,CRNCHY PARMESAN,6,9,3,4.5
221719,CHICKEN & BACON,1096,3293.8,995,2987.6
221931,DI CHICKEN & BA,252,1260,406,2033.05
222112,FARMHOUSE CHS,5,6.7,5,6.2
222143,BRITISH HAM,0,0,0,0
222204,Rainbw veg cury,52,182,149,521.7
222211,Chcken Rendng,64,256,215,860.5
222228,Teyki chkn ndle,39,156,91,364
222235,VEG KATSU PARCE,83,207.5,188,470.7
222242,AUB & SOY DMPLN,24,60,64,160
222273,2 PIQUILLO & CH,348,870,487,1217.5
222297,PESTO & CHEESE,192,345.6,321,577.8
222327,ORG EGGS MED X6,23,46,23,46
222334,ORG EGGS LGE X6,129,310.6,102,244.9
222662,KIDS CHKN BITES,56,140,128,320
222914,GBF FSQ OJ SMOO,1,2.8,6,15.9
222938,GBF SUPER BERRY,0,0,2,5.2
222976,GBF FSQ OJ BITS,3,8.2,4,10.8
223058,QCH SELECTION,37,129.5,145,507.5
223423,EX THK H/F CRM,100,120,182,218.55
223560,8 BRITISH BEEF,18,90,58,290
224215,CHDR&ONION BITE,8,12,3,4.5
224420,GBF FSQ OJ MANG,0,0,6,16.2
225380,4 ANGUS BURGER,336,1221.8,432,1576
226257,GBF G LAMB O P,1,4,0,0
226646,KIDS CHSY PIZZA,553,553.4,567,568
226745,MOUSSAKA X2,35,245,52,364
227155,TOAD IN THE HOL,123,246.1,211,422.1
228008,ORG GEM,1,1.5,5,7.5
228497,3 FRUIT TRIFLE,37,100.1,67,182
228763,BAGELS,8,4,0,0
228909,SGL SPROUTS,485,388,471,378
229005,BABY AVO PACK,11,19.5,3,6
229630,CHEESE SCONES,3,4.8,5,8
229876,CHUNKY CHIPS,866,1992.6,849,1953.5
230148,ALMND CROISSANT,2,2.05,0,0
230643,UNSMK BACK X8,71,142,77,154
230650,SMK BACK X8,79,158,99,198
230889,CHOCOLATE AND P,21,68.6,68,221.9
230896,DINE IN CHOCOLA,1,3.5,3,10.5
230926,APPLE CRUMBLE T,76,357,186,894
230933,DINE IN BILLION,2,8,3,12
230957,BEEF & VEG SOUP,9,22.5,45,112.5
230971,ORIENTAL VEG&CK,104,260.6,114,285.4
231855,OLIVE KALMATA,6,19.7,14,45.55
232418,FSQ ORNG MANG,110,275,263,657.5
232562,PEA & MINT GIRA,12,36,8,24
232579,GORGONZOLA & WA,7,21,11,33
232609,BASIL PESTO GIR,9,27,8,24
232791,ORG CAULIFLWR,56,112,131,262
232852,FC ORAN JC BITS,2,2,0,0
233040,POMGN & RASP JD,0,0,2,3.6
233095,SWEET POT FRIES,129,129,238,238
233200,QR YLW CAR BNUT,38,83.7,101,222.5
233248,QR CARR PARSNIP,542,1194,697,1534.6
233262,QR CAULI ONION,38,83.6,105,231
233446,CHEDDAR MASH,267,640.8,486,1166.4
233620,ORG COURGETTES,41,90.2,58,127.7
234207,SAL SMK 4,74,370,72,360
234368,DIP TARAM,12,17.6,40,58
234382,RTR CHICKEN 4-6,86,774,122,1098
234474,DIP 300G HOUM,71,113.7,139,222.4
234733,SGL MANDARIN DS,113,169.5,141,212.5
236072,PARMA HAM 80G,11,31.2,23,68
236089,JA PRWN CH,561,2248.5,554,2225.25
236201,SEAFOOD STICKS,10,15,34,51
236577,DUCK SPRNG ROLL,540,1621.5,653,1964.05
237277,QCH BAC LK MUSH,147,349.3,276,653.2
239400,4 WHITE SUBS,0,0,3,4.5
239493,GBF JAZZ APPLE,0,0,0,0
239592,BRD BRST ST X4,521,2088.15,709,2845.1
239646,SMKD LOIN 550g,9,43.45,57,275.75
239936,APPLE JAZZ BAG,15,30,27,54
239950,PIE D'ANGLOYS,3,6.8,2,4.4
240086,SHVED PARMESAN,0,0,1,3.5
241557,SKNY CHOC MOUSS,11,6.66,20,12
241908,8 TRTLLA WRAPS,3,3,2,2
242332,RD PEP B.NUT ON,511,1127.7,738,1629.4
242417,HP LAMBS LIVER,179,176.65,295,292.16
242547,QR SQ RD ONION,3,7.2,2,4.8
242769,LARGE COLESLAW,3,5.1,12,20.4
242905,MINESTRONE SOUP,19,38,44,88
243155,PATE TUNA,418,753.6,763,1374.9
244060,LIVER & BACON,439,1097.5,524,1310
245043,SALMON MLD&DELI,0,0,1,15
245050,SALMON SMKY&ROB,1,15,0,0
245203,LUMPFISH CAVIAR,2,6,1,3
245357,RESERVE W/DALE,1,2.61,6,14.91
245364,BUTLERS F/H RED,3,7.16,3,7.29
245456,LOBSTER&SHELLFI,5,50,10,100
245838,GOAT CHS 120G,33,69.3,54,113.4
246118,*DUCK WRAP,18,60.4,11,38.3
246132,CHCKN PIRI PIRI,76,304,134,536
246231,FARMHOUSE 800G,18,27,10,15
246255,GOLDEN 800G,2,3,8,12
247245,12 MINI WHT PIT,1,1,2,2
247368,W/STILT & CRAN,11,27.7,17,42.5
248013,6 SCOTCH PANCKS,2,1.6,2,1.6
248549,PRP ORG SPINACH,206,413,312,624.1
248914,FRUITY COLESLAW,9,15.3,19,32.3
249270,BEETROOT SALAD,8,17.6,5,11
249751,SWEDE MASH,533,1279.9,682,1638.2
250078,SNGAPORE NOODLE,120,511.75,160,680
250337,CALVES LIVER.,15,90,32,192
250481,8 WHT MINI SUBS,5,7.5,8,12
250962,APPLE LOAF,1,1.5,7,10.5
251068,2 RIB-EYE STEAK,33,264,58,464
251228,PRP BROC FLORET,254,381,367,550.5
252058,GRAVADLX SAL SL,8,56,18,126
252362,8 FNDNT FANCIES,0,0,0,0
252430,CC SNOWFLAKE,0,0,4,10
252508,BUNCH SLD ONION,17,10.2,16,9.6
252812,VEGETABLE KIEV,271,813.8,526,1578.4
253567,WILT HAM,68,198,109,318
253734,CHK RST BRST 2,503,2137.75,705,3002.4
253949,FRITES,1176,2704.8,772,1775.6
254069,CANDY FLOSS GRA,3,9,3,9
254243,BREADED TENDERS,254,1016,407,1630
254427,CHKN RST HALF,568,1704,844,2534.8
255110,CHK RST FLT 4,64,448,171,1197
255387,CORIANDER POT,22,33,128,192.1
255400,BASIL POT,40,60,101,151.5
255431,RTR CHICKEN 4-5,73,730,80,800
255493,CRANBRY JUICE,2,3.1,10,18
255714,FEST CHSE BITES,2,15,0,0
255721,SHORTCRST PASTY,2,5,0,0
256247,GOOSEBRY IN A P,0,0,2,4.6
256353,EXTRA LEAN HAM,145,145,165,165
256544,SPNCH & RCT RVL,139,486.9,100,350.2
256551,CAPPALETTI PRSC,9,31.5,23,80.5
256605,DI CARBONARA,121,708,101,616
256612,MSHRM RISOTTO,28,112,102,408
256650,PNCTT CARBONARA,94,376,295,1180
256704,APL ELDF JC,2,2.6,12,19.6
256728,S/C BEEF RAGU,65,260,247,988
256735,K PRAWN RISOTTO,65,260,143,572
256742,SCALLOP LINGUIN,42,168,202,808
256773,K PRAWN BUCATIN,107,428,298,1199.1
257084,APPLE & RASPBER,3,4.4,3,5.4
257091,MANGO JUICE DRI,4,5.7,5,8
257329,SAL SMK MILD 4,114,575,134,670
257350,SPROUTS LSE,96.35,192.7,7,14
258401,CHK RST FLT,148,370,270,675
258722,ASPARAGUS TIPS,173,347,196,393
258975,MED VEG ORZO,39,85.8,111,244.2
259033,G AND TEE TOTAL,1,1.8,3,5.4
259118,PETIT ASH,0,0,3,9
259200,HAM CHPD,43,43,36,36
259309,CRN BEEF SL 3,101,101,76,76
259392,TSB/CRT/SSNAP,301,603.4,406,812.3
259484,PORRIDGE 200G,53,79.1,103,152.5
259699,SM BLUE STILTON,1,0.7,7,4.9
259972,DF RF TUNA SWCN,32,40,102,127.5
260411,ORG UNSMK BACON,0,0,5,16.5
260596,LEMON AND PARME,181,633.5,284,994
260794,SAL OA SMK W/T,20,81.5,62,255
261067,PATE CHK LVR,17,25.59,15,22.59
261135,TRIPLE CHOCOLAT,39,156,135,540
261180,CARROT CAKE CHE,29,79.8,91,251
261197,TRIPLE CHOCOLAT,155,427.45,197,543.35
261395,HUNTERS CHICKEN,405,1417.5,602,2107
262026,SULTANA/CH SLAB,0,0,1,2.4
262088,PATE MACKEREL,198,356.4,395,711
262415,PATE CRAB,219,438,325,650
263290,FARMHOUSE 400G,7,7.75,3,3.45
263306,GOLDEN 400G,0,0,1,1.15
263573,H/F SPRD BUTTER,1,1.8,2,3.6
263757,CREAMY BRIE,57,122.59,107,230.37
263764,SAL POACH TERIN,31,85.5,97,276
263931,RICE NOODLES,170,255.1,233,349.6
264259,MNC BEEF PIE,223,446,317,634.2
264341,CHK RST THIGH,170,425.5,231,578.5
264495,MEDJOOL DATE LG,2,11,0,0
264587,SALAMI NAPOLI,12,12,16,16
264891,4 CHOC ECLAIRS,68,136,53,106
265263,BEANSPROUTS,260,130.2,442,221.4
265720,CHK CORONATION,25,70,87,243.6
265799,BRILLAT SAVARIN,0,0,1,3.5
265812,PINK GRAPEFRUIT,3,4.9,7,11.6
265829,ROTISSERIE CHIC,671,3355,382,1910
265911,SAUS GARLIC,40,40,67,67
266383,PRWN C/T,107,375.3,178,623.4
266420,BNUT SQ LSG SHT,7,14,22,44
266451,BUTTERNUT SQ SL,348,348.25,447,447.5
266628,PETIT CREME,0,0,2,6
266710,WENSLEYDALE,3,7.5,3,7.5
266932,"COD & SPINACH,",166,746,248,1110.5
266987,SAVOY CABBAGE,350,280,556,444.8
266994,BEEF & ONION,864,3456,932,3732.4
267113,CHCKN & STFFNG,133,465.5,281,983.5
267120,CHILLI BEEF BAK,96,336,166,581
267144,BEEF & VEG CTG,327,1144.5,481,1683.5
267168,"COD, SALMON & P",198,792,247,988
267212,PULLED PORK WIT,365,1277.5,507,1774.5
267298,"BUTTERNUT, KALE",29,101.5,59,206.5
267397,CHILLI CHEESE F,94,329,243,850.5
267533,XLG CUMBLND PIE,79,474,142,852
267564,SOFT PRUNES,0,0,1,2.6
267953,SALMN ASPARAGUS,29,174,48,288
268226,NRSH BWL ED BB,3,10.5,3,10.5
268332,NOUR AVO & EGG,1,3.5,3,10.5
268431,ORG BROWN ONION,2,3,8,12
268455,ORG SWEET POTAT,1,2.2,8,17.6
268578,2 INDIAN SPICED,764,2294,885,2655.4
268806,AROMATIC HALF D,24,192,59,472
268851,TERIYAKI BEEF B,22,132,68,408
268875,12 CHEESE & BAC,0,0,3,15
268899,PEPPERED BEEF,101,606,271,1626
268936,COU STRW TRIFLE,5,7.5,6,9
269223,TOM/BAS CHK SM,5,12.5,5,12.5
269322,BBQ PORK RIB RA,9,54,47,282
269346,VIETNAMESE STYL,54,270,126,630
269360,4 ONION BHAJIS,461,922.38,611,1226.14
269377,MEXICAN STYLE P,48,288,134,804
269612,CRISPY MUSHROOM,130,390.2,258,774.2
269636,COU CHILLI C C,230,690.6,315,945.4
269834,BEEF WELLINGTON,45,630,148,2072
270311,MANCHEGO,0,0,1,3.17
270427,GBF UK SMALL MR,7,7.1,1,1
271035,GINGER LOOSE,69,276.5,5,20
272070,GBF BOSTON FB,0,0,1,2
272803,PITTED CHILLI D,57,159.7,94,263.2
272810,PITTED GREEK HA,61,165.2,85,229.9
272902,9MLLN PCAN TART,0,0,1,5
273015,KING PRAWN ALFR,303,909,304,912
273664,SAL HR FLK,101,505,214,1070
274005,HONEY JNT 600G,16,60,34,127.9
274524,CHICKEN DHANSAK,295,1181.25,767,3075.4
274630,TENDERSTEM BROC,108,259.2,270,648
274661,SPINACH PEAS A,440,1055.7,752,1805.5
274685,CREAMY MUSHROOM,398,995,686,1715
275200,E LRG COOL BAG,13,15.6,0,0
275545,2PT ORG ENG SS,145,166.75,186,213.9
275552,2PT ORG ENG WH,96,110.4,145,166.75
276832,SS CHKN TENDERS,840,3370,1341,5381.25
277327,CHEESE & BACON,88,221.4,127,317.5
277358,MW CHEESY GARLI,592,1482.6,453,1134.5
278232,2 BAKED RICOTTA,6,42,14,98
278447,CHILLI & RICE,29,174,106,636
278454,CHICKEN PIE,38,228,94,564
